areaCode,areaName,areaType,date,newCasesBySpecimenDate
S12000045,East Dunbartonshire,ltla,2021-09-09,127
W06000023,Powys,ltla,2021-09-09,68
E06000003,Redcar and Cleveland,ltla,2021-09-08,79
E07000040,East Devon,ltla,2021-09-08,45
E07000090,Havant,ltla,2021-09-08,60
E07000214,Surrey Heath,ltla,2021-09-08,30
E07000229,Worthing,ltla,2021-09-08,33
E08000001,Bolton,ltla,2021-09-08,127
E08000009,Trafford,ltla,2021-09-08,120
E08000016,Barnsley,ltla,2021-09-08,181
E08000032,Bradford,ltla,2021-09-08,231
E09000003,Barnet,ltla,2021-09-08,154
E09000018,Hounslow,ltla,2021-09-08,118
E09000032,Wandsworth,ltla,2021-09-08,99
E09000033,Westminster,ltla,2021-09-08,78
S12000045,East Dunbartonshire,ltla,2021-09-08,122
W06000023,Powys,ltla,2021-09-08,90
E06000003,Redcar and Cleveland,ltla,2021-09-07,100
E07000040,East Devon,ltla,2021-09-07,74
E07000090,Havant,ltla,2021-09-07,68
E07000214,Surrey Heath,ltla,2021-09-07,34
E07000229,Worthing,ltla,2021-09-07,45
E08000001,Bolton,ltla,2021-09-07,131
E08000009,Trafford,ltla,2021-09-07,122
E08000016,Barnsley,ltla,2021-09-07,152
E08000032,Bradford,ltla,2021-09-07,261
E09000003,Barnet,ltla,2021-09-07,145
E09000018,Hounslow,ltla,2021-09-07,118
E09000032,Wandsworth,ltla,2021-09-07,108
E09000033,Westminster,ltla,2021-09-07,79
S12000045,East Dunbartonshire,ltla,2021-09-07,135
W06000023,Powys,ltla,2021-09-07,88
E06000003,Redcar and Cleveland,ltla,2021-09-06,116
E07000040,East Devon,ltla,2021-09-06,61
E07000090,Havant,ltla,2021-09-06,67
E07000214,Surrey Heath,ltla,2021-09-06,39
E07000229,Worthing,ltla,2021-09-06,56
E08000001,Bolton,ltla,2021-09-06,154
E08000009,Trafford,ltla,2021-09-06,126
E08000016,Barnsley,ltla,2021-09-06,197
E08000032,Bradford,ltla,2021-09-06,288
E09000003,Barnet,ltla,2021-09-06,182
E09000018,Hounslow,ltla,2021-09-06,146
E09000032,Wandsworth,ltla,2021-09-06,126
E09000033,Westminster,ltla,2021-09-06,79
S12000045,East Dunbartonshire,ltla,2021-09-06,164
W06000023,Powys,ltla,2021-09-06,95
E06000003,Redcar and Cleveland,ltla,2021-09-05,63
E07000040,East Devon,ltla,2021-09-05,58
E07000090,Havant,ltla,2021-09-05,51
E07000214,Surrey Heath,ltla,2021-09-05,26
E07000229,Worthing,ltla,2021-09-05,38
E08000001,Bolton,ltla,2021-09-05,100
E08000009,Trafford,ltla,2021-09-05,94
E08000016,Barnsley,ltla,2021-09-05,136
E08000032,Bradford,ltla,2021-09-05,224
E09000003,Barnet,ltla,2021-09-05,130
E09000018,Hounslow,ltla,2021-09-05,86
E09000032,Wandsworth,ltla,2021-09-05,104
E09000033,Westminster,ltla,2021-09-05,67
S12000045,East Dunbartonshire,ltla,2021-09-05,132
W06000023,Powys,ltla,2021-09-05,53
E06000003,Redcar and Cleveland,ltla,2021-09-04,52
E07000040,East Devon,ltla,2021-09-04,51
E07000090,Havant,ltla,2021-09-04,43
